scene_id,num_lanes,num_lane_boundaries,num_road_boundaries,num_crosswalks,num_stop_signs,num_speed_bumps,has_dynamic_lane_state,num_objects,num_moving_vehicles,mean_vehicle_speed,p90_vehicle_speed,heading_dispersion,num_candidate_interactions,num_lane_changes,num_merge_candidates,num_crossing_candidates,num_turning_tracks,mean_min_ttc,mean_min_thw,parallel_lane_ratio
19c4d7abfe777671,41,86,23,0,0,0,False,42,42,15.928055057642778,26.74961304161909,0.8166237359310182,18,15,6,0,0,8.293573569126742,2.545002146533376,0.8584667228306655
1df4ba4519345108,164,332,44,2,6,9,False,61,42,12.046474156961231,17.257248645779953,1.4445775018292626,21,9,10,0,3,1.5274578336909979,5.292288427828025,0.6097560975609756
28a0d572e637cda3,87,153,29,3,5,10,False,25,3,5.739873766150487,8.360551477420303,1.0543696024100184,0,2,0,0,2,0.0,0.0,0.4555256064690027
2dbe118c0651a20c,61,163,46,0,0,3,False,55,55,23.646375121527203,32.30353734983028,1.2751644162141509,18,15,11,0,2,4.784701325955164,1.384046982142505,0.688212927756654
40d044264f531612,80,156,37,4,11,4,False,43,7,6.710388659917758,12.930676791910129,1.287923160701851,5,2,1,0,2,12.376787818117057,2.301609966805835,0.011185682326621925
4492226c507e3c3,76,119,21,5,7,4,False,45,3,5.2477061440760915,9.17279229728738,1.4580464402125717,1,1,0,0,2,0.8708608751536566,0.7651081546838052,0.1951219512195122
469213066d37224b,197,313,37,3,4,13,False,43,16,15.496077184195805,21.30452216024775,1.0826630666390222,24,7,0,0,2,0.7805566108139468,1.0530885537637953,0.7393939393939394
54b3cac73bc327,112,197,45,3,4,6,False,11,11,21.974671520159013,24.16555229713101,0.48952296963481756,4,5,2,0,0,5.033381199497644,2.645286201666105,0.9435783221974758
54c1c7f5242d4dd0,498,795,93,9,5,24,False,92,18,14.717595820594996,23.43823383368636,0.8632271017776039,16,8,5,0,3,0.8858404535005615,1.1687744721301456,0.7034267912772586
5a1a82c06ad555e6,45,74,39,0,4,3,False,7,3,6.154266647433426,9.309791412285719,1.376800507180365,1,2,0,0,2,1.4849615938734375,1.9385545360652001,0.03514376996805112
